"Run","Run ID","metric","step","timestamp","value"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","0","1768561777276","1.4357383251190186"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","1","1768561895461","1.3074246644973755"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","2","1768562013770","1.280964970588684"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","3","1768562134164","1.2094229459762573"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","4","1768562253798","1.1908878087997437"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","5","1768562633570","1.150267243385315"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","6","1768562751227","1.144232153892517"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","7","1768562869597","1.1136082410812378"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","8","1768562988166","1.0966345071792603"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","9","1768563106795","1.0839388370513916"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","10","1768563226439","1.0778677463531494"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","11","1768563345691","1.0792739391326904"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","12","1768563464846","1.0585393905639648"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","13","1768563584021","1.052899718284607"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","14","1768563703163","1.042483925819397"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","15","1768563822299","1.035446286201477"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","16","1768563942055","1.0306041240692139"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","17","1768564061412","1.0055408477783203"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","18","1768564181020","1.00350821018219"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","19","1768564300625","0.9935019612312317"
"hilarious-stork-853","0232de2b0b314a1d8612321b4e02e83c","Loss/train","20","1768564420625","0.9605147242546082"
