"Run","Run ID","metric","step","timestamp","value"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","0","1768478552474","1.3495129346847534"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","1","1768478636088","1.142811894416809"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","2","1768478719426","1.084481954574585"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","3","1768478803386","1.0404164791107178"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","4","1768478887540","1.0072797536849976"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","5","1768478971655","0.9689241051673889"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","6","1768479055920","0.9446194767951965"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","7","1768479140257","0.9172423481941223"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","8","1768479224916","0.902173638343811"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","9","1768479309669","0.8769356608390808"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","10","1768479394255","0.861832857131958"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","11","1768479479163","0.8407116532325745"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","12","1768479564125","0.8139511942863464"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","13","1768479649048","0.8032766580581665"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","14","1768479734391","0.7834675312042236"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","15","1768479819670","0.772611677646637"
"mysterious-ant-356","0e94c11a27a84c8ba5a928451cf52650","Loss/train","16","1768479904531","0.7569979429244995"
